Airport_ICAO_Code,Airport_Name,State,Easting,Northing
KSEE,Gillespie Field,California,986791.218421574,1100617.97804879
KGCC,Gillette Campbell County Airport,Wyoming,2238768.30225483,2721112.68787138
KGPI,Glacier Park International Airport,Montana,1284208.73248536,3349771.73497881
KGEU,Glendale Municipal Airport,Arizona,1498949.0032658,1192293.96719074
KDVO,Gnoss Field,California,375312.131682845,1816238.27324014
KIWD,Gogebic Iron County Airport,Michigan,3925986.43280618,3061173.00273295
KGTR,Golden Triangle Regional Airport,Mississippi,4094625.11746632,1182235.82132655
KGWW,Goldsboro-Wayne Municipal Airport,North-Carolina,5258286.43016552,1449238.43223428
KGSH,Goshen Municipal Airport,Indiana,4401076.47380983,2298811.571721
KGCN,Grand Canyon National Park Airport,Arizona,1515155.28019639,1515560.91299322
KGFK,Grand Forks International Airport,North-Dakota,3154552.4454218,3290510.00707048
KGJT,Grand Junction Regional Airport,Colorado,1911565.75991889,1953453.00020659
KCKC,Grand Marais Cook County Airport,Minnesota,3898446.28883555,3272381.73482762
KGPM,Grand Prairie Municipal Airport,Texas,3168700.98134713,1084027.88824538
KGPZ,Grand Rapids Itasca Co-Gordon Newstrom field,Minnesota,3556032.50408114,3170670.53235542
KCRE,Grand Strand Airport,South-Carolina,5175171.40520161,1229767.0152687
KMWH,Grant Co International Airport,Washington,729672.176209145,3170122.02029896
KSVC,Grant County Airport,New-Mexico,1952192.56856452,1075924.02477834
KGBD,Great Bend Municipal Airport,Kansas,2970243.8499417,1844221.67484917
KGTF,Great Falls International Airport,Montana,1600131.71248255,3214452.20619659
KBGM,Greater Binghamton/Edwin A Link field,New-York,5475665.9233291,2399143.90081095
KPIA,Greater Peoria Regional Airport,Illinois,3973961.12299904,2173524.98815742
KROC,Greater Rochester International Airport,New-York,5290316.34279396,2534692.93679795
KGXY,Greeley Weld County Airport,Colorado,2337980.15872646,2140838.99129146
KLWB,Greenbrier Valley Airport,West-Virginia,4991684.06810759,1776590.90943149
KGMU,Greenville Downtown Airport,South-Carolina,4778093.39198186,1367175.74263241
KGSP,Greenville Spartanburg International Airport,South-Carolina,4792449.12228735,1373555.49877487
KGRD,Greenwood County Airport,South-Carolina,4798997.4674013,1287510.13209014
KGWO,Greenwood Leflore Airport,Mississippi,3931100.29098995,1188012.36996345
KRME,Griffiss International Airport,New-York,5538390.68124107,2551946.32364028
KGUS,Grissom ARB Airport,Indiana,4361742.12364924,2171201.30488689
KGON,Groton New London Airport,Connecticut,5906537.5074656,2270141.98049945
KGPT,Gulfport Biloxi International Airport,Mississippi,4042204.93807065,789526.456316788
KGUC,Gunnison Crested Butte Regional Airport,Colorado,2086117.83445451,1870729.1396179
KGUY,Guymon Municipal Airport,Oklahoma,2680185.07838512,1615141.99089411
KLZU,Gwinnett County Briscoe Field,Georgia,4601526.18065782,1251719.40009634
KHGR,Hagerstown Regional Richard A Henson Field,Maryland,5284063.75060882,2036444.58984799
KDUC,Halliburton Field,Oklahoma,3068722.17171635,1316985.76466504
KMNZ,Hamilton Municipal Airport,New-York,3048058.70886549,950383.340369494
KHDC,Hammond Northshore Regional Airport,Louisiana,3894558.05177441,804047.663106039
KBHB,Hancock County-Bar Harbor Airport,Maine,6309911.5566337,2736608.05201365
KOFP,Hanover County Municipal Airport,Virginia,5316127.08241123,1755904.41928014
KHEZ,Hardy Anders Field Natchez Adams County Airport,Mississippi,3798313.75407501,943669.37826656
KHRJ,Harnett Regional Jetport Airport,North-Carolina,5174174.6998425,1438326.72038855
KVMR,Harold Davidson Field,South-Dakota,3181030.71858012,2481798.07218174
KMDT,Harrisburg International Airport,Pennsylvania,5389857.37099605,2105811.18052544
KPTN,Harry P Williams Memorial Airport,Louisiana,3793747.95845651,701239.223283364
KHFD,Hartford Brainard Airport,Connecticut,5840363.12985389,2329621.96617662
KVSF,Hartness State (Springfield) Airport,Vermont,5854828.30523184,2568464.84457408
KATL,Hartsfield Jackson Atlanta International Airport,Georgia,4550529.62679434,1206726.31306556
KHVS,Hartsville Regional Airport,South-Carolina,5022378.07821401,1307983.32936364
KHSI,Hastings Municipal Airport,Nebraska,3017473.30870917,2165025.8955234
KHBG,Hattiesburg Bobby L Chain Municipal Airport,Mississippi,4022198.14776802,898888.468574482
KPIB,Hattiesburg Laurel Regional Airport,Mississippi,4012967.13688004,924833.122963908
KHVR,Havre City County Airport,Montana,1776326.3129231,3388139.4109194
KHKS,Hawkins Field,Mississippi,3916043.60830891,1036718.46147436
KHYS,Hays Regional Airport,Kansas,2924908.3816392,1913980.94587354
KHWD,Hayward Executive Airport,California,422837.343740493,1749013.44139735
KEZM,Heart of Georgia Regional Airport,Georgia,4692898.06854332,1021137.69039369
KFAR,Hector International Airport,North-Dakota,3194007.10199809,3123984.22621297
KHLN,Helena Regional Airport,Montana,1533114.35478384,3073803.8915978
KHND,Henderson Executive Airport,Nevada,1188062.18326142,1518321.00935225
KHNZ,Henderson Oxford Airport,North-Carolina,5196492.37609536,1571059.49784596
KTMA,Henry Tift Myers Airport,Georgia,4653420.85453051,919942.701745637
KHEG,Herlong Airport,Florida,4837675.14503557,773094.492205427
KHRI,Hermiston Municipal Airport,Oregon,736351.68931199,2950577.70789319
KBKV,Hernando County Airport,Florida,4766551.49504509,546357.935174558
KHKY,Hickory Regional Airport,North-Carolina,4883272.94791419,1487015.47038934
KHXD,Hilton Head Airport,South-Carolina,4959050.952477,1022458.0138894
KHBR,Hobart Regional Airport,Oklahoma,2949196.9107467,1386326.67026067
KHVC,Hopkinsville Christian County Airport,Kentucky,4219056.20662444,1638641.35948636
KIGX,Horace Williams Airport,North-Carolina,5137720.18465552,1513207.5495087
KCMX,Houghton County Memorial Airport,Michigan,4105827.81709784,3163789.62365782
KHUL,Houlton International Airport,Maine,6372264.53447001,2997045.14288356
KHUM,Houma Terrebonne Airport,Louisiana,3868058.0575284,683222.820540996
KAXH,Houston Southwest Airport,Texas,3340624.69956254,675620.743354153
KLND,Hunt Field,Wyoming,1889335.80749748,2489244.2376028
KSVN,Hunter Army Air Field,Georgia,4909970.94678877,994737.58969793
KHSV,Huntsville International Carl T Jones Field,Alabama,4293520.03056327,1339096.92152529
KUTS,Huntsville Municipal Airport,Texas,3328546.4365699,832720.998579008
KBAX,Huron County Memorial Airport,Michigan,4708513.67426778,2634443.91198191
KHON,Huron Regional Airport,South-Dakota,3039308.92341035,2726673.27558004
KBGD,Hutchinson County Airport,Texas,2692669.3755855,1481593.36154928
KHUT,Hutchinson Municipal Airport,Kansas,3079595.69936553,1805369.33186184
KIDA,Idaho Falls Regional Airport,Idaho,1523478.14496379,2594249.13432749
KBDR,Igor I Sikorsky Memorial Airport,Connecticut,5788150.98031116,2245877.93892354
KVYS,Illinois Valley Regional-Walter A Duncan field,Illinois,4033115.955365,2273321.17458486
KIPL,Imperial County Airport,California,1139332.23615598,1101660.96113412
KIDP,Independence Municipal Airport,Kansas,3307608.94269922,1679972.77737186
KTYQ,Indianapolis Executive Airport,Indiana,4350867.76028636,2082500.71307844
KIND,Indianapolis International Airport,Indiana,4346159.10079374,2037782.61548715
KIDL,Indianola Municipal Airport,Mississippi,3866032.06403977,1186882.87031823
KHSP,Ingalls Field,Virginia,5053620.15108281,1789511.97616851
KIYK,Inyokern Airport,California,892835.251940688,1475917.43284425
KIOW,Iowa City Municipal Airport,Iowa,3771025.08392861,2315324.84066738
KMRJ,Iowa County Airport,Wisconsin,3914510.53735385,2499938.71603764
KITH,Ithaca Tompkins Regional Airport,New-York,5423256.60457583,2440973.30065968
KJKA,Jack Edwards Airport,Alabama,4195326.60088887,774705.120443027
KCEC,Jack Mc Namara Field Airport,California,191233.289322535,2336008.10717452
KHHR,Jack Northrop Field Hawthorne Municipal Airport,California,837535.234286236,1244418.99201935
KJXN,Jackson County Reynolds Field,Michigan,4547102.56482678,2406701.83964552
KJAN,Jackson Evers International Airport,Mississippi,3932064.41325015,1033699.11025887
KJAC,Jackson Hole Airport,Wyoming,1669449.09554386,2608257.81560282
KJAX,Jacksonville International Airport,Florida,4850597.22387271,800552.35104934
KNIP,Jacksonville Naval Air Station,Florida,4851395.92451566,767769.945439875
KTRM,Jacqueline Cochran Regional Airport,California,1075709.35709595,1205411.33311967
KDAY,James M Cox Dayton International Airport,Ohio,4573383.66873076,2064169.31685822
KJMS,Jamestown Regional Airport,North-Dakota,2990064.33193901,3125427.1171559
KJEF,Jefferson City Memorial Airport,Missouri,3704270.89622405,1878753.83252344
KCUB,Jim Hamilton L.B. Owens Airport,South-Carolina,4926451.25529765,1250715.98662567
KLXN,Jim Kelly Field,Nebraska,2869706.95195183,2191847.76981222
KFSD,Joe Foss Field Airport,South-Dakota,3202100.21492692,2604432.55898131
KJWN,John C Tune Airport,Tennessee,4281298.9036965,1546719.50272682
KJFK,John F Kennedy International Airport,New-York,5716676.43626511,2170003.3409954
KASX,John F Kennedy Memorial Airport,Wisconsin,3839740.09895682,3064516.07018365
KRAC,John H Batten Airport,Wisconsin,4179623.27204474,2481097.0837206
KJST,John Murtha Johnstown Cambria County Airport,Pennsylvania,5163125.72518742,2123402.6790765
KSNA,John Wayne Airport-Orange County Airport,California,888674.653348856,1211857.2483733
KOJC,Johnson County Executive Airport,Kansas,3421581.72860551,1914739.87468616
KJBR,Jonesboro Municipal Airport,Arkansas,3869591.12887768,1499245.58871203
KJLN,Joplin Regional Airport,Missouri,3447786.80511078,1679065.51444838
KTWF,Joslin Field Magic Valley Regional Airport,Idaho,1258803.18783606,2439606.99375634
KAZO,Kalamazoo Battle Creek International Airport,Michigan,4427445.30112915,2403018.58308178
KKNB,Kanab Municipal Airport,Utah,1473105.68104239,1659752.94420719
KMCI,Kansas City International Airport,Missouri,3424177.50621798,1978213.84538977
KOFK,Karl Stefan Memorial Airport,Nebraska,3126191.0430651,2366204.3638008
KEAR,Kearney Regional Airport,Nebraska,2954081.0170481,2182595.47271653
KENW,Kenosha Regional Airport,Wisconsin,4167292.69971129,2456534.60389664
KEOK,Keokuk Municipal Airport,Iowa,3783947.16276575,2144076.59312006
KERV,Kerrville Municipal Louis Schreiner Field,Texas,2945440.67695012,734972.536669248
KMEI,Key Field,Mississippi,4077049.51958438,1036472.25727728
KEYW,Key West International Airport,Florida,4842745.55923711,66804.6221982134
KIBM,Kimball Municipal Robert E Arraj Field,Nebraska,2442667.62811268,2249456.45883338
KIGM,Kingman Airport,Arizona,1319030.75654067,1422235.25073566
KLNL,Kings Land O' Lakes Airport,Wisconsin,4026655.33344738,3001928.29468256
KISO,Kinston Regional Jetport At Stallings Field,North-Carolina,5297280.74760283,1431882.35294215
KIRK,Kirksville Regional Airport,Missouri,3661694.95650136,2091485.76089164
KIRS,Kirsch Municipal Airport,Michigan,4439830.17848144,2340870.0546031
KISM,Kissimmee Gateway Airport,Florida,4878060.50540987,523481.030821992
KITR,Kit Carson County Airport,Colorado,2595099.20038041,1970420.08913086
KLMT,Klamath Falls Airport,Oregon,465435.005448813,2391371.18121912
KRKD,Knox County Regional Airport,Maine,6229129.97450902,2676996.10840786
KDKX,Knoxville Downtown Island Airport,Tennessee,4611217.53050958,1517116.86318302
KOKK,Kokomo Municipal Airport,Indiana,4371937.25703833,2153911.32221364
KOLF,L M Clayton Airport,Montana,2234826.59617324,3314283.04434924
KLSE,La Crosse Municipal Airport,Wisconsin,3802760.07856444,2649441.40115109
KLGD,La Grande Union County Airport,Oregon,873452.548010262,2866434.25192629
KLGA,La Guardia Airport,New-York,5706416.13736807,2189851.73610571
KLHX,La Junta Municipal Airport,Colorado,2461064.48280382,1803172.42888231
KSKF,Lackland Air Force Base (Kelly Field Annex) Airport,Texas,3000697.2476438,660291.866822232
KLCI,Laconia Municipal Airport,New-Hampshire,5975109.6588168,2603026.75445557
KLFT,Lafayette Regional Airport,Louisiana,3722722.05790513,763904.667255722
KLGC,Lagrange Callaway Airport,Georgia,4479953.2039511,1124451.11077994
KLCH,Lake Charles Regional Airport,Louisiana,3587406.57942607,753873.486877591
KLCQ,Lake City Municipal Airport,Florida,4753246.77500806,760952.672900651
KLXV,Lake County Airport,Colorado,2153572.97881629,1967281.4388868
KLKV,Lake County AirportKLKV,Oregon,611515.401451762,2392109.39065905
KSME,Lake Cumberland Regional Airport,Kentucky,4529964.74862541,1665555.04459729
KHII,Lake Havasu City Airport,Arizona,1273038.61682881,1330302.75506574
KTVL,Lake Tahoe Airport,California,655755.579943192,1921252.3989355
KNEW,Lakefront Airport,Louisiana,3937276.85586398,743280.915992568
KLAL,Lakeland Linder Regional Airport,Florida,4814383.32140763,486113.914737021
KARV,Lakeland-Noble F. Lee Memorial field,Wisconsin,3969843.13409931,2966259.38645318
KLAA,Lamar Municipal Airport,Colorado,2550968.46731186,1805953.51938641
KSTL,Lambert St Louis International Airport,Missouri,3899858.21830731,1900843.71375921
KLNS,Lancaster Airport,Pennsylvania,5441029.37130694,2095523.5973205
KLKR,Lancaster County-Mc Whirter Field,South-Carolina,4941847.9701873,1350509.1262021
KLFI,Langley Air Force Base,Virginia,5433977.24307178,1669603.98709289
KLAR,Laramie Regional Airport,Wyoming,2223875.37036594,2267517.19274047
KLRD,Laredo International Airport,Texas,2904277.50217198,431030.29848313
KLQR,Larned Pawnee County Airport,Kansas,2945408.09343509,1825292.56512966
KLRU,Las Cruces International Airport,New-Mexico,2087322.57423294,1030874.73294106
KLVS,Las Vegas Municipal Airport,New-Mexico,2282242.36279706,1475297.9259885
KIFP,Laughlin Bullhead International Airport,Arizona,1250918.93979492,1408551.35390167
KBED,Laurence G Hanscom Field,Massachusetts,5989334.2222394,2437855.21975148
KMWC,Lawrence J Timmerman Airport,Wisconsin,4155619.63546455,2533417.97830383
KLWM,Lawrence Municipal Airport,Massachusetts,6007468.74316475,2474626.26104737
KLWC,Lawrence Municipal AirportKLWC,Kansas,3369128.96588097,1937769.50200177
KLSF,Lawson Army Air Field (Fort Benning),Georgia,4488855.87882231,1037081.34989364
KLAW,Lawton Fort Sill Regional Airport,Oklahoma,3018710.62679018,1329850.75073541
KHOB,Lea County Regional Airport,New-Mexico,2493040.08859561,1082557.64787119
KLEB,Lebanon Municipal Airport,New-Hampshire,5878164.4086433,2611101.26783703
KAIZ,Lee C Fine Memorial Airport,Missouri,3661191.17338015,1809612.7502553
KGVL,Lee Gilmer Memorial Airport,Georgia,4616003.05192099,1290676.65330726
KJYO,Leesburg Executive Airport,Virginia,5302898.38890782,1947187.93593644
KLEE,Leesburg International Airport,Florida,4837368.53092778,589969.015904674
KABE,Lehigh Valley International Airport,Pennsylvania,5534688.75246334,2171778.31893399
KSMN,Lemhi County Airport,Idaho,1325273.3228444,2840571.06200823
KADG,Lenawee County Airport,Michigan,4588944.13412784,2348865.76119098
KLOT,Lewis University Airport,Illinois,4148852.39902303,2310652.02426003
KLWS,Lewiston Nez Perce County Airport,Idaho,982082.558939903,3036855.19217819
KLWT,Lewistown Municipal Airport,Montana,1808630.25270581,3144627.37319108
KLBL,Liberal Mid-America Regional Airport,Kansas,2740194.58589106,1664293.14805706
KAOH,Lima Allen County Airport,Ohio,4594484.91299936,2179691.52435192
KLNK,Lincoln Airport,Montana,3200205.38885777,2200530.21159892
KLHM,Lincoln Regional Karl Harder Field,California,507266.549218883,1923404.85777792
KIPJ,Lincolnton Lincoln County Regional Airport,North-Carolina,4908262.42877307,1452290.37058896
KLRF,Little Rock Air Force Base,Arkansas,3704971.84819443,1376386.59013713
KLVK,Livermore Municipal Airport,California,455908.241051644,1753745.57583362
KOZW,Livingston County Spencer J. Hardy Airport,Michigan,4599369.01939931,2461519.33150328
KLGU,Logan Cache Airport,Utah,1547460.05955834,2337623.24774032
KLOZ,London Corbin Airport Magee Field,Kentucky,4588112.01474894,1669507.64019555
KCXO,Lone Star Executive Airport,Texas,3347457.9369629,782481.592706323
KLGB,Long Beach /Daugherty Field/ Airport,California,857574.610326864,1230557.88791666
KISP,Long Island Mac Arthur Airport,New-York,5790998.2319997,2192455.26894526
KLPR,Lorain County Regional Airport,Ohio,4796972.30893648,2272212.73212911
KSLI,Los Alamitos Army Air Field,California,868524.992547022,1226907.66595409
KLAX,Los Angeles International Airport,California,829541.544676821,1247019.44232544
KMSY,Louis Armstrong New Orleans International Airport,Louisiana,3912122.7891563,737083.963462762
KSDF,Louisville International Standiford Field,Kentucky,4407307.34365891,1820527.6798977
KCHA,Lovell Field,Tennessee,4465586.61265279,1392209.95636165
KRBW,Lowcountry Regional Airport,South-Carolina,4965281.82232608,1112978.75145809
KLBB,Lubbock Preston Smith International Airport,Texas,2645691.39059844,1210265.12495843
KLYH,Lynchburg Regional Preston Glenn Field,Virginia,5122991.83863734,1703123.01013892
KMBS,MBS International Airport,Michigan,4588692.66030362,2597013.30754675
KMCF,Mac Dill Air Force Base,Florida,4759345.64170208,468813.448163121
KMVM,Machias Valley Airport,Maine,6406594.47185876,2775517.41219621
KMQB,Macomb Municipal Airport,Illinois,3868934.45635136,2152744.62761364
KIMS,Madison Municipal Airport,Indiana,4436928.62132508,1902276.0685374
KEUG,Mahlon Sweet Field,Oregon,303476.668783916,2686830.13920272
KGVT,Majors Airport,California,3276191.42315305,1132144.91522354
KSSI,Malcolm Mc Kinnon Airport,Georgia,4883076.61427499,884420.824980746
KMMH,Mammoth Yosemite Airport,California,782454.114880117,1744159.54288985
KHEF,Manassas Regional Harry P. Davis field,Virginia,5307508.46370757,1897011.5371387
KMHT,Manchester Airport,New-Hampshire,5973269.97318452,2506786.18287561
KMHK,Manhattan Regional Airport,Kansas,3209885.87812187,1956078.83673766
KMBL,Manistee Co Blacker Airport,Michigan,4351360.68195483,2709405.58039523
KMTW,Manitowoc County Airport,Wisconsin,4194362.47906669,2687470.87502371
KMKT,Mankato Regional Airport,Minnesota,3511255.95946813,2701639.81199828
KMFD,Mansfield Lahm Regional Airport,Ohio,4759849.42510801,2196245.69331948
KAVQ,Marana Regional Airport,Arizona,1616886.05231788,1046455.57793879
KRIV,March ARB Airport,California,955362.836305703,1238864.6530769
KMKY,Marco Island Airport,Florida,4852283.1846271,241060.606264486
KMRF,Marfa Municipal Airport,Texas,2405326.6884513,784930.789588741
KMAI,Marianna Municipal Airport,Florida,4467984.38638133,844308.388926093
KMZZ,Marion Municipal Airport,Indiana,4413472.21206735,2148395.08275421
KMNN,Marion Municipal AirportKMNN,Ohio,4699961.05778225,2166597.99279433
KMFI,Marshfield Municipal Airport,Wisconsin,3919646.11753422,2765324.48466445
KMVY,Martha's Vineyard Airport,Massachusetts,6063217.40008696,2279333.61895129
KMTN,Martin State Airport,Maryland,5428139.87552491,1982190.78490452
KMCW,Mason City Municipal Airport,Iowa,3575579.79025764,2540530.36505237
KLDM,Mason County Airport,Michigan,4333730.77945921,2662135.70748037
KTEW,Mason Jewett Field,Michigan,4551065.99340869,2452087.95962092
KMSS,Massena International Richards Field,New-York,5599867.26028728,2811441.42911498
KMRC,Maury County Airport,Tennessee,4249301.57405748,1461815.9062852
KMXF,Maxwell Air Force Base,Alabama,4338340.85460938,1042992.97164245
KMLC,Mc Alester Regional Airport,Oklahoma,3307050.01928349,1371780.199382
KMFE,Mc Allen Miller International Airport,Texas,3038202.77324158,263104.575933737
KMYL,Mc Call Municipal Airport,Idaho,1082170.81696117,2804313.52663107
KMCC,Mc Clellan Airfield,California,501790.933752803,1889462.85635352
KCRQ,Mc Clellan-Palomar Airport,California,953063.646317336,1140053.37017399
KMCB,Mc Comb/Pike County/John E Lewis Field,Mississippi,3888699.79811985,887837.63815946
KIAB,Mc Connell Air Force Base,Kansas,3144466.75695187,1743855.22857324
KMCK,Mc Cook Ben Nelson Regional Airport,Nebraska,2780492.22110888,2107646.07400307
KPWG,Mc Gregor Executive Airport,Texas,3139178.28817673,927118.531306543
KWRI,Mc Guire Air Force Base,New-Jersey,5627670.57486528,2080341.10442958
KMKL,Mc Kellar Sipes Regional Airport,Tennessee,4059123.02772352,1467982.21862974
KMMV,Mc Minnville Municipal Airport,Oregon,311798.696654968,2851535.34412847
KLAS,McCarran International Airport,Nevada,1186091.33319918,1532849.59611344
KTCM,McChord Air Force Base,Washington,384072.778141764,3158845.96647576
KTYS,McGhee Tyson Airport,Tennessee,4598065.69938488,1496450.22762167
KSLE,McNary Field,Oregon,326363.288453479,2807374.21430147
KBFL,Meadows Field,California,758472.197000404,1445609.02999327
KMLB,Melbourne International Airport,Florida,4964767.17821205,500246.266637475
KHOT,Memorial Field,Iowa,3601324.52805099,1317928.77377142
KMEM,Memphis International Airport,Tennessee,3942927.08015838,1393159.43348951
KMNM,Menominee Marinette Twin County Airport,Michigan,4198984.2505839,2841021.61659259
KMCE,Merced Regional Macready Field,California,598922.498604848,1697340.84076883
KSCD,Merkel Field Sylacauga Municipal Airport,Alabama,4344944.34017115,1145742.74836851
KHQZ,Mesquite Metro Airport,Texas,3225260.03567356,1090302.0794155
KTDZ,Metcalf Field,Ohio,4654100.08501898,2304444.36426279
KOAK,Metropolitan Oakland International Airport,California,411996.3988179,1757606.89548911
KTMB,Miami Executive Airport,Miami,4987990.81585073,198794.215887665
KMIA,Miami International Airport,Florida,5003608.60623329,216496.003719743
KOXD,Miami University Airport,Ohio,4511512.75189861,2007222.36135109
KGLH,Mid Delta Regional Airport,Mississippi,3832446.52261459,1186515.24363472
KPKB,Mid Ohio Valley Regional Airport,West-Virginia,4877830.75357129,1984937.67440334
KJWY,Mid Way Regional Airport,Texas,3183429.32736532,1052488.76787784
KMCN,Middle Georgia Regional Airport,Georgia,4635823.53464104,1083247.07908167
KMWO,Middletown Regional-Hook Field Municipal Airport,Ohio,4554121.27449025,2011296.02737565
KMDD,Midland Airpark,Texas,2615248.85431624,998160.403837133
KMAF,Midland International Airport,Texas,2604188.18309701,986023.907686491
KGPH,Midwest National Air Center Airport,Missouri,3468450.26770977,1983153.6762665
KMLE,Millard Airport,Nebraska,3271077.56496928,2250606.11045925
KVTN,Miller Field,Nebraska,2785311.16721335,2495605.64209699
KNQA,Millington Regional Jetport Airport,Tennessee,3954578.42246328,1435278.71559834
KMLT,Millinocket Municipal Airport,Maine,6274421.16347696,2922273.11015757
KMIV,Millville Municipal Airport,New-Jersey,5575053.22631383,1988152.70824206
KMEV,Minden Tahoe Airport,Nevada,682475.295590936,1936233.6857795
KMWL,Mineral Wells Airport,Texas,3057738.36267872,1094807.72688022
KMSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minnesota,3587570.329824,2803123.15128284
KMIB,Minot Air Force Base,North-Dakota,2696611.08260884,3367093.76594043
KMOT,Minot International Airport,North-Dakota,2705152.83723645,3341362.21058108
KNKX,Miramar Marine Corps Air Station,California,968066.030451304,1106118.80938141
KLVM,Mission Field,Montana,1701205.81234054,2930359.95572222
KMSO,Missoula International Airport,Montana,1302276.41900497,3123279.07785903
KMHE,Mitchell Municipal Airport,South-Dakota,3060104.38887968,2633624.68684222
KBFM,Mobile Downtown Airport,Alabama,4151929.40320718,817427.866490779
KMOB,Mobile Regional Airport,Alabama,4132799.01196842,825625.94408419
KMBG,Mobridge Municipal Airport,South-Dakota,2800641.88191071,2906419.37450645
KMOD,Modesto City Co-Harry Sham Field,California,550739.772152974,1744394.77368388
KNUQ,Moffett Federal Airfield,California,430831.036777433,1715441.7702173
KBLM,Monmouth Executive Airport,New-Jersey,5678787.43419176,2104865.1559428
KBMG,Monroe County Airport,Alabama,4310865.87660663,1956784.95828958
KMLU,Monroe Regional Airport,Louisiana,3717236.41904342,1059602.42813098
KMTP,Montauk Airport,New-York,5920148.84181848,2233231.24291797
KMRY,Monterey Peninsula Airport,California,453389.325445577,1601754.90366239
KGAI,Montgomery County Airpark,Maryland,5345770.08190973,1959934.30036787
KMYF,Montgomery Field,California,968394.362153557,1099250.01305725
KMGM,Montgomery Regional (Dannelly Field) Airport,Alabama,4335252.99016609,1032325.63118672
KMTJ,Montrose Regional Airport,Colorado,1980883.14269548,1867355.77507419
KSOP,Moore County Airport,North-Carolina,5102098.62471445,1419272.05626826
KMGW,Morgantown Municipal Walter L. Bill Hart Field,West-Virginia,5044597.16990541,2027196.34602785
KMOX,Morris Municipal - Charlie Schmidt Airport,Minnesota,3286933.78396315,2909469.09203176
KMMU,Morristown Municipal Airport,New-Jersey,5647030.71762505,2193062.8059043
KMVL,Morrisville Stowe State Airport,Vermont,5844239.66995666,2749594.78260968
KMGR,Moultrie Municipal Airport,Georgia,4618948.88872948,875863.485802826
KMQJ,Mount Comfort Airport,Indiana,4389665.74388735,2055764.82326183
KMOP,Mount Pleasant Municipal Airport,Michigan,4516648.33207898,2610435.90805568
KIOB,Mount Sterling Montgomery County Airport,Kentucky,4599643.05052864,1804340.58481637
KMVN,Mount Vernon Airport,Illinois,4065343.03683165,1841303.88208479
KHIE,Mount Washington Regional Airport,New-Hampshire,5961355.4605898,2723976.69644911
KEKA,Murray Field,California,204812.039404787,2193641.13320802
KMKG,Muskegon County Airport,Michigan,4352313.94330981,2542286.84229509
KMYR,Myrtle Beach International Airport,South-Carolina,5152788.56339699,1212383.32096591
KACK,Nantucket Memorial Airport,Massachusetts,6123894.44306125,2258919.81781576
KAPC,Napa County Airport,California,405426.331707364,1825933.7233689
KAPF,Naples Municipal Airport,Florida,4841026.18002054,260273.889773148
KBNA,Nashville International Airport,Tennessee,4304131.22363633,1538867.13382847
KLSV,Nellis Air Force Base,Nevada,1199013.40905777,1554020.92161007
KEWB,New Bedford Regional Airport,Massachusetts,6025701.01357301,2320733.70910732
KBAZ,New Braunfels Municipal Airport,Texas,3059710.05117039,700608.95128779
KILG,New Castle Airport,Delaware,5516544.20528426,2032288.85853482
KIXD,New Century Aircenter Airport,Kansas,3404860.80713382,1912391.94217844
KPSK,New River Valley Airport,Virginia,4961132.08639155,1677073.58768056
KVTA,Newark Heath Airport,Ohio,4765850.54311851,2081642.59444914
KEWR,Newark Liberty International Airport,New-Jersey,5673991.05150282,2177611.51565498
KONP,Newport Municipal Airport,Arkansas,210834.87941188,2756633.30259402
KPHF,Newport News Williamsburg International Airport,Virginia,5419467.78743943,1676332.15007376
KUUU,Newport State Airport,Rhode-Island,5990155.48009985,2299688.75423419
KIAG,Niagara Falls International Airport,New-York,5150828.57134902,2532952.788433
KOLS,Nogales International Airport,Arizona,1657403.41552967,918492.483445242
KORF,Norfolk International Airport,Virginia,5451420.83808337,1643788.72069325
KNGU,Norfolk Ns (Chambers Fld) Airport,Virginia,5441773.76740191,1649678.10875911
KSJC,Norman Y. Mineta San Jose International Airport,California,443972.006460335,1708067.98867132
KSFZ,North Central State Airport,Rhode-Island,5967170.27074396,2356677.39212268
KCKB,North Central West Virginia Airport,West-Virginia,5010452.70462647,1978072.41969505
KVGT,North Las Vegas Airport,Nevada,1181492.11615089,1550559.84889479
KLBF,North Platte Regional Airport Lee Bird Field,Nebraska,2770418.23390089,2240453.89285108
KPNE,Northeast Philadelphia Airport,Pennsylvania,5581798.74016744,2089825.88889546
KEDE,Northeastern Regional Airport,North-Carolina,5411352.95297394,1525751.73186372
KFVE,Northern Aroostook Regional Airport,Maine,6315245.14100461,3182672.19995371
KPQI,Northern Maine Regional Airport at Presque Isle,Maine,6344592.38813277,3086916.093267
KMSL,Northwest Alabama Regional Airport,Alabama,4202072.11579373,1353493.91420143
KXNA,Northwest Arkansas Regional Airport,Arkansas,3468756.88197086,1560227.16643954
KECP,Northwest Florida Beaches International Airport,Florida,4400594.65863473,781199.868578544
KOWD,Norwood Memorial Airport,Massachusetts,6002048.27069798,2396453.60997783
KVCB,Nut Tree Airport,California,440358.636647381,1848760.59825533
KPTK,Oakland County International Airport,Michigan,4660911.59990807,2466923.71286179
KOCF,Ocala International Jim Taylor Field,Florida,4791869.31194263,633726.969958373
KOXB,Ocean City Municipal Airport,Maryland,5569380.44456101,1839489.40635359
