Martha's Vineyard Airport,New Bedford Regional Airport,1,962,407.5
Seattle Tacoma International Airport,Snohomish County (Paine Field) Airport,1,360,157.0
Grissom ARB Airport,Chicago O'Hare International Airport,1,1260,274.0
James M Cox Dayton International Airport,Philadelphia International Airport,1,787,373.0
Oakland County International Airport,Teterboro Airport,1,90,384.0
Olympia Regional Airport,Van Nuys Airport,1,111,422.0
Reno Tahoe International Airport,Salt Lake City International Airport,1,306,390.0
Van Nuys Airport,Bob Hope Airport,1,231,446.5
Bradley International Airport,Portland International Jetport Airport,1,126,330.0
Philadelphia International Airport,Watertown International Airport,1,36,375.0
Fort Lauderdale Hollywood International Airport,Bradley International Airport,1,6,439.0
McGhee Tyson Airport,Hartsfield Jackson Atlanta International Airport,1,156,347.0
Akron Fulton International Airport,Lehigh Valley International Airport,1,6,380.5
Ithaca Tompkins Regional Airport,Republic Airport,1,36,306.0
Los Angeles International Airport,Stockton Metropolitan Airport,1,126,437.0
San Francisco International Airport,Sacramento International Airport,1,17,253.0
Aspen-Pitkin Co/Sardy Field,Los Angeles International Airport,1,6,374.0
Burlington International Airport,Bangor International Airport,1,90,372.5
San Francisco International Airport,Mc Clellan-Palomar Airport,1,66,364.0
Santa Monica Municipal Airport,McCarran International Airport,1,66,328.0
Westchester County Airport,Atlantic City International Airport,1,6,273.0
Port Columbus International Airport,Teterboro Airport,1,126,392.0
Mobile Regional Airport,Tampa International Airport,1,102,370.0
Chicago Midway International Airport,Kalamazoo Battle Creek International Airport,1,54,300.0
Santa Monica Municipal Airport,Norman Y. Mineta San Jose International Airport,1,126,451.0
Metropolitan Oakland International Airport,Will Rogers World Airport,1,30,472.0
Philadelphia International Airport,Norfolk International Airport,1,0,305.0
Theodore Francis Green State Airport,Stewart International Airport,1,66,256.0
Chatham Municipal Airport,Theodore Francis Green State Airport,1,23,234.0
Fitchburg Municipal Airport,Baltimore/Washington International Thurgood Marshal Airport,1,36,358.0
Reno Tahoe International Airport,Monterey Peninsula Airport,1,6,325.0
Bob Hope Airport,San Francisco International Airport,1,246,357.0
John F Kennedy International Airport,Sloulin Field International Airport,1,216,373.0
Boeing Field King County International Airport,Portland International Airport,1,156,281.0
Norman Y. Mineta San Jose International Airport,Santa Monica Municipal Airport,1,81,331.0
McCarran International Airport,Los Angeles International Airport,1,6,298.0
